,D_80496356,D_80498153,D_80498163,D_80498193,D_80498215,D_80498587,D_80501352,D_80501374,D_80501446,D_80501481,D_DA1080
D_80496356,259.7988977,1115.682311,366.1546421,79.41292387,284.1466272,489.2082717,23.61852794,206.3830138,827.0964065,121.4580078,137.2066103
D_80498153,1115.682311,30726.26692,4539.74302,1337.943454,1700.388746,4182.460522,98.85081276,1002.800073,5995.521128,593.5186971,1417.928399
D_80498163,366.1546421,4539.74302,1940.384141,298.9585746,536.1814024,1294.443383,40.02515262,388.4009464,1511.270431,232.5786775,371.4636097
D_80498193,79.41292387,1337.943454,298.9585746,114.3515111,128.0463266,342.3423574,10.15090485,87.22885549,486.0649156,51.12512717,104.8587706
D_80498215,284.1466272,1700.388746,536.1814024,128.0463266,683.8489358,718.1998038,37.74537431,338.8330644,1320.736981,187.4942565,230.7499234
D_80498587,489.2082717,4182.460522,1294.443383,342.3423574,718.1998038,2914.656704,62.49834106,503.376738,2228.521557,296.8253095,471.9128159
D_80501352,23.61852794,98.85081276,40.02515262,10.15090485,37.74537431,62.49834106,9.340381127,33.77280299,94.16179345,19.00444866,15.88612979
D_80501374,206.3830138,1002.800073,388.4009464,87.22885549,338.8330644,503.376738,33.77280299,291.7126767,916.4179851,146.0411654,150.6880318
D_80501446,827.0964065,5995.521128,1511.270431,486.0649156,1320.736981,2228.521557,94.16179345,916.4179851,10777.30827,503.5509134,592.2341963
D_80501481,121.4580078,593.5186971,232.5786775,51.12512717,187.4942565,296.8253095,19.00444866,146.0411654,503.5509134,104.7673175,83.87905016
D_DA1080,137.2066103,1417.928399,371.4636097,104.8587706,230.7499234,471.9128159,15.88612979,150.6880318,592.2341963,83.87905016,302.1408764
